customer_id,subscription_id,plan_name,amount,status,transaction_date
CUST1806,SUB20487,Basic,29,Active,2025-02-02
CUST9794,SUB33750,Pro,79,Active,2024-12-13
CUST9246,SUB24165,Pro,79,Active,2025-02-13
CUST6935,SUB39567,Enterprise,199,Active,2024-01-11
CUST4346,SUB78754,Basic,29,Canceled,2024-11-04
CUST8381,SUB96624,Pro,79,Canceled,2023-12-22
CUST3992,SUB29341,Enterprise,199,Active,2024-10-22
CUST1735,SUB43489,Pro,79,Active,2024-06-09
CUST3858,SUB15445,Pro,79,Active,2024-11-09
CUST2125,SUB78271,Basic,29,Active,2025-02-27
CUST5905,SUB26819,Pro,79,Active,2024-11-01
CUST7956,SUB70987,Basic,29,Active,2024-01-30
CUST7526,SUB45741,Enterprise,199,Active,2025-03-21
CUST1190,SUB71766,Basic,29,Active,2023-07-01
CUST2433,SUB93045,Pro,79,Active,2023-12-28
CUST2283,SUB86637,Enterprise,199,Canceled,2024-10-28
CUST7546,SUB34288,Enterprise,199,Active,2025-06-19
CUST9712,SUB94422,Basic,29,Active,2023-11-14
CUST2416,SUB48475,Pro,79,Canceled,2023-07-28
CUST2289,SUB62809,Enterprise,199,Active,2023-11-15
CUST6236,SUB26524,Enterprise,199,Active,2023-02-14
CUST1346,SUB70738,Pro,79,Canceled,2024-07-10
CUST4380,SUB35799,Pro,79,Active,2023-08-17
CUST4271,SUB91207,Basic,29,Active,2024-04-09
CUST7355,SUB19554,Pro,79,Active,2024-05-26
CUST8028,SUB38484,Basic,29,Active,2025-01-27
CUST4662,SUB90488,Pro,79,Active,2024-06-10
CUST9494,SUB20073,Pro,79,Active,2023-11-12
CUST5784,SUB32634,Pro,79,Active,2023-08-30
CUST4499,SUB63791,Enterprise,199,Active,2023-10-09
CUST2993,SUB73253,Pro,79,Active,2023-09-23
CUST3927,SUB57864,Basic,29,Active,2024-01-03
CUST8799,SUB24814,Enterprise,199,Active,2025-01-20
CUST9633,SUB75565,Enterprise,199,Active,2023-06-29
CUST2685,SUB10903,Basic,29,Active,2023-10-29
CUST9257,SUB93251,Pro,79,Active,2024-01-15
CUST3515,SUB88514,Enterprise,199,Active,2024-12-30
CUST4092,SUB37646,Enterprise,199,Active,2023-05-28
CUST2282,SUB95463,Basic,29,Active,2024-12-19
CUST3504,SUB23416,Enterprise,199,Active,2024-10-02
CUST8458,SUB68510,Pro,79,Active,2024-04-10
CUST5273,SUB98330,Pro,79,Active,2023-12-16
CUST1949,SUB37726,Pro,79,Active,2023-09-03
CUST8982,SUB50818,Basic,29,Active,2023-02-19
CUST8473,SUB43503,Enterprise,199,Active,2023-11-02
CUST9791,SUB51429,Basic,29,Active,2023-12-05
CUST2250,SUB62926,Pro,79,Active,2023-03-11
CUST4943,SUB94803,Pro,79,Active,2023-12-29
CUST6765,SUB70234,Enterprise,199,Active,2024-12-26
CUST6726,SUB38109,Pro,79,Active,2025-06-17
CUST1061,SUB67202,Pro,79,Active,2023-11-16
CUST6750,SUB37534,Enterprise,199,Active,2024-07-25
CUST4890,SUB92073,Enterprise,199,Active,2025-06-18
CUST1653,SUB89154,Basic,29,Canceled,2023-05-11
CUST2189,SUB37491,Pro,79,Active,2025-03-10
CUST3526,SUB38288,Basic,29,Active,2025-03-23
CUST8572,SUB81948,Basic,29,Active,2023-09-16
CUST1874,SUB25947,Enterprise,199,Active,2025-02-19
CUST5755,SUB13960,Pro,79,Canceled,2024-12-25
CUST1567,SUB48678,Basic,29,Active,2025-04-28
CUST5424,SUB22093,Basic,29,Active,2025-01-28
CUST8395,SUB82408,Enterprise,199,Active,2024-03-23
CUST3713,SUB58965,Basic,29,Canceled,2024-10-26
CUST6789,SUB56075,Enterprise,199,Active,2025-03-25
CUST8816,SUB72171,Basic,29,Active,2024-03-15
CUST1461,SUB10128,Pro,79,Active,2025-02-20
CUST2902,SUB70867,Enterprise,199,Active,2024-01-16
CUST8912,SUB84124,Basic,29,Active,2024-05-26
CUST5179,SUB36988,Enterprise,199,Active,2023-10-05
CUST4068,SUB87275,Basic,29,Active,2025-03-23
CUST5266,SUB31289,Pro,79,Active,2023-11-13
CUST4850,SUB33427,Basic,29,Active,2025-02-17
CUST2893,SUB17339,Enterprise,199,Active,2024-09-30
CUST5601,SUB46752,Enterprise,199,Active,2023-04-25
CUST2091,SUB99250,Basic,29,Active,2025-04-12
CUST6828,SUB24728,Pro,79,Active,2024-03-29
CUST5586,SUB64646,Enterprise,199,Active,2023-08-30
CUST4931,SUB70134,Pro,79,Active,2023-08-30
CUST3925,SUB65531,Basic,29,Active,2023-09-06
CUST9054,SUB24392,Pro,79,Active,2024-11-15
CUST1060,SUB65030,Enterprise,199,Canceled,2023-11-17
CUST1471,SUB99870,Enterprise,199,Active,2023-06-18
CUST6099,SUB10455,Basic,29,Active,2025-04-14
CUST3126,SUB98937,Basic,29,Active,2023-01-30
CUST6093,SUB88011,Basic,29,Canceled,2025-05-21
CUST6680,SUB31452,Basic,29,Active,2023-04-18
CUST1086,SUB35337,Enterprise,199,Active,2024-01-23
CUST4424,SUB69647,Basic,29,Active,2023-08-06
CUST3343,SUB72575,Basic,29,Canceled,2024-12-29
CUST5582,SUB87936,Basic,29,Active,2025-03-30
CUST6763,SUB39820,Enterprise,199,Active,2024-11-23
CUST5167,SUB53051,Enterprise,199,Active,2025-03-29
CUST8747,SUB63002,Enterprise,199,Canceled,2023-10-31
CUST5941,SUB83897,Basic,29,Canceled,2024-01-02
CUST7707,SUB24393,Basic,29,Active,2024-05-21
CUST8012,SUB80876,Basic,29,Canceled,2023-02-25
CUST9858,SUB59647,Pro,79,Active,2024-10-02
CUST9453,SUB42909,Enterprise,199,Active,2023-05-09
CUST7095,SUB15999,Basic,29,Canceled,2023-10-18
CUST6199,SUB22624,Enterprise,199,Active,2023-09-16
CUST9519,SUB96477,Enterprise,199,Active,2024-09-29
CUST7407,SUB36293,Pro,79,Canceled,2023-04-18
CUST5208,SUB44181,Enterprise,199,Active,2023-02-06
CUST9222,SUB54285,Basic,29,Active,2025-05-28
CUST3512,SUB90790,Basic,29,Active,2024-07-07
CUST7501,SUB41133,Pro,79,Active,2024-11-11
CUST2105,SUB38931,Basic,29,Active,2024-05-01
CUST5294,SUB53103,Enterprise,199,Canceled,2023-08-01
CUST3952,SUB58851,Enterprise,199,Canceled,2024-02-11
CUST5585,SUB38086,Enterprise,199,Active,2023-11-21
CUST1935,SUB30665,Enterprise,199,Active,2023-11-05
CUST9222,SUB22642,Enterprise,199,Active,2023-11-10
CUST1289,SUB81161,Enterprise,199,Active,2024-01-11
CUST9440,SUB91573,Enterprise,199,Active,2023-06-30
CUST1228,SUB20792,Enterprise,199,Active,2024-09-21
CUST9446,SUB79608,Pro,79,Active,2024-08-16
CUST8659,SUB67791,Basic,29,Active,2023-04-10
CUST6803,SUB23191,Basic,29,Active,2023-07-07
CUST2774,SUB58318,Enterprise,199,Active,2024-03-02
CUST9309,SUB23155,Enterprise,199,Active,2025-02-20
CUST7151,SUB19593,Enterprise,199,Active,2023-01-25
CUST8497,SUB86402,Basic,29,Active,2023-11-13
CUST6620,SUB40794,Pro,79,Canceled,2025-03-22
CUST2628,SUB67796,Basic,29,Active,2025-03-29
CUST2070,SUB47113,Basic,29,Active,2024-05-25
CUST8089,SUB39529,Pro,79,Active,2024-01-14
CUST3531,SUB89555,Pro,79,Canceled,2024-06-06
CUST7479,SUB75760,Enterprise,199,Canceled,2023-09-16
CUST5096,SUB74990,Basic,29,Active,2024-11-14
CUST6051,SUB30129,Basic,29,Active,2023-06-20
CUST2111,SUB76248,Basic,29,Active,2023-07-06
CUST3541,SUB85661,Enterprise,199,Active,2024-06-04
CUST1596,SUB99897,Basic,29,Active,2025-04-14
CUST8313,SUB98035,Enterprise,199,Active,2024-06-07
CUST3633,SUB67062,Enterprise,199,Active,2025-02-10
CUST8120,SUB46083,Pro,79,Active,2025-01-28
CUST3381,SUB60086,Basic,29,Active,2023-05-10
CUST8666,SUB49229,Basic,29,Active,2023-01-10
CUST6617,SUB43140,Basic,29,Active,2024-09-30
CUST7695,SUB22613,Enterprise,199,Active,2023-08-08
CUST4810,SUB97688,Enterprise,199,Active,2025-01-30
CUST5184,SUB58959,Basic,29,Active,2024-01-28
CUST8437,SUB10999,Basic,29,Active,2024-07-26
CUST6303,SUB26635,Enterprise,199,Active,2023-07-11
CUST1251,SUB54051,Enterprise,199,Canceled,2023-12-11
CUST9464,SUB47220,Basic,29,Active,2023-06-29
CUST7822,SUB30778,Enterprise,199,Canceled,2025-03-10
CUST9761,SUB46427,Basic,29,Active,2023-12-18
CUST5744,SUB94791,Pro,79,Active,2023-09-19
CUST6885,SUB45620,Enterprise,199,Active,2023-10-12
CUST9702,SUB66339,Enterprise,199,Active,2023-02-15
CUST1705,SUB61054,Basic,29,Active,2024-02-27
CUST4021,SUB64624,Basic,29,Active,2023-02-07
CUST3773,SUB76042,Enterprise,199,Active,2023-10-16
CUST6072,SUB29339,Pro,79,Active,2023-10-22
CUST4466,SUB87079,Enterprise,199,Canceled,2024-11-27
CUST1336,SUB77569,Basic,29,Active,2025-04-25
CUST2770,SUB22444,Pro,79,Canceled,2024-04-18
CUST6706,SUB56901,Basic,29,Active,2023-08-18
CUST2112,SUB75261,Enterprise,199,Active,2024-01-28
CUST7396,SUB31956,Basic,29,Canceled,2023-04-12
CUST4924,SUB84478,Pro,79,Active,2025-04-01
CUST4660,SUB33693,Pro,79,Canceled,2025-04-02
CUST8238,SUB34783,Pro,79,Active,2023-11-26
CUST5324,SUB81548,Enterprise,199,Active,2024-12-12
CUST1721,SUB92014,Basic,29,Active,2025-02-28
CUST5555,SUB67863,Pro,79,Active,2023-01-24
CUST4823,SUB56621,Enterprise,199,Active,2023-12-01
CUST8937,SUB68856,Basic,29,Active,2024-02-14
CUST8418,SUB77928,Basic,29,Active,2024-06-16
CUST9103,SUB33977,Basic,29,Active,2023-07-02
CUST8599,SUB68229,Enterprise,199,Active,2023-09-15
CUST8883,SUB69934,Pro,79,Active,2023-04-13
CUST4127,SUB76491,Enterprise,199,Canceled,2023-09-01
CUST9467,SUB34883,Basic,29,Active,2025-02-13
CUST2659,SUB88135,Basic,29,Active,2025-01-15
CUST9911,SUB38056,Enterprise,199,Canceled,2024-08-07
CUST4586,SUB11196,Enterprise,199,Active,2023-03-21
CUST5028,SUB18436,Pro,79,Active,2023-03-01
CUST1954,SUB97553,Enterprise,199,Active,2023-07-31
CUST6966,SUB77917,Pro,79,Canceled,2024-10-06
CUST2502,SUB23684,Pro,79,Active,2024-11-19
CUST3899,SUB65879,Enterprise,199,Active,2024-09-30
CUST5489,SUB23292,Basic,29,Active,2024-12-21
CUST4447,SUB30714,Pro,79,Active,2023-03-09
CUST5339,SUB94184,Pro,79,Active,2024-03-13
CUST7659,SUB88824,Pro,79,Active,2024-01-12
CUST3113,SUB62136,Basic,29,Active,2023-04-05
CUST4712,SUB14116,Pro,79,Active,2024-05-04
CUST3160,SUB14212,Enterprise,199,Active,2023-10-21
CUST9328,SUB13823,Pro,79,Active,2023-08-25
CUST4336,SUB90645,Basic,29,Active,2024-07-10
CUST3882,SUB87453,Enterprise,199,Active,2025-05-18
CUST7211,SUB56852,Enterprise,199,Active,2024-10-17
CUST6400,SUB11185,Basic,29,Active,2023-07-26
CUST3283,SUB42805,Enterprise,199,Active,2024-03-23
CUST6649,SUB40510,Pro,79,Active,2025-03-28
CUST5476,SUB96114,Pro,79,Active,2024-07-11
CUST1464,SUB56686,Basic,29,Active,2023-12-28
CUST6274,SUB54527,Enterprise,199,Active,2025-06-10
CUST3445,SUB76639,Pro,79,Active,2024-12-13
CUST9808,SUB35240,Pro,79,Active,2023-01-21
CUST5453,SUB80797,Pro,79,Active,2025-05-29
CUST9428,SUB41806,Basic,29,Active,2024-07-08
CUST7254,SUB73219,Pro,79,Active,2023-05-04
CUST5308,SUB51338,Enterprise,199,Active,2023-06-24
CUST4891,SUB32445,Basic,29,Active,2024-06-08
CUST2895,SUB49723,Basic,29,Active,2024-12-04
CUST4076,SUB77705,Enterprise,199,Active,2025-06-04
CUST9011,SUB44701,Enterprise,199,Canceled,2024-09-07
CUST1029,SUB23753,Enterprise,199,Active,2024-05-04
CUST9658,SUB42652,Pro,79,Active,2023-09-13
CUST1067,SUB73631,Pro,79,Active,2023-03-26
CUST9957,SUB49748,Basic,29,Active,2024-03-07
CUST5237,SUB80270,Enterprise,199,Active,2024-09-10
CUST9236,SUB17263,Pro,79,Active,2024-04-22
CUST1042,SUB19314,Basic,29,Canceled,2025-01-15
CUST2085,SUB88831,Pro,79,Active,2023-05-31
CUST8595,SUB34557,Basic,29,Active,2024-06-06
CUST7808,SUB78036,Pro,79,Canceled,2024-08-20
CUST7565,SUB75638,Basic,29,Active,2025-03-21
CUST1578,SUB37097,Enterprise,199,Active,2023-05-01
CUST9591,SUB19673,Enterprise,199,Active,2025-01-10
CUST3908,SUB51972,Enterprise,199,Active,2025-03-12
CUST5564,SUB52543,Enterprise,199,Active,2024-08-30
CUST8963,SUB59654,Pro,79,Active,2023-12-14
CUST4174,SUB88555,Enterprise,199,Active,2023-01-23
CUST4422,SUB93938,Pro,79,Active,2024-03-01
CUST2714,SUB97368,Basic,29,Active,2023-04-06
CUST4703,SUB66799,Enterprise,199,Active,2025-06-02
CUST4714,SUB71108,Enterprise,199,Active,2024-01-17
CUST9033,SUB95140,Enterprise,199,Active,2023-01-05
CUST7944,SUB11849,Pro,79,Active,2024-02-08
CUST5838,SUB83652,Enterprise,199,Active,2023-01-30
CUST3956,SUB41079,Pro,79,Active,2024-06-10
CUST7334,SUB61445,Enterprise,199,Active,2024-07-19
CUST1405,SUB39817,Basic,29,Active,2024-06-26
CUST1310,SUB27558,Basic,29,Active,2024-12-14
CUST4161,SUB63567,Enterprise,199,Active,2024-06-11
CUST2359,SUB73177,Basic,29,Active,2024-08-27
CUST5864,SUB99980,Pro,79,Active,2023-01-15
CUST6443,SUB83979,Basic,29,Active,2025-05-04
CUST6728,SUB21625,Enterprise,199,Canceled,2023-09-16
CUST3542,SUB19785,Pro,79,Active,2025-06-12
CUST5282,SUB71448,Basic,29,Active,2023-03-27
CUST6592,SUB22080,Pro,79,Active,2023-10-04
CUST9044,SUB72928,Enterprise,199,Active,2024-06-02
CUST6761,SUB18823,Pro,79,Active,2023-12-05
CUST6688,SUB29300,Pro,79,Active,2024-10-14
CUST5350,SUB70737,Enterprise,199,Active,2024-11-09
CUST6793,SUB51019,Basic,29,Canceled,2024-08-29
CUST5843,SUB63261,Pro,79,Active,2023-04-14
CUST4329,SUB78549,Enterprise,199,Active,2023-11-07
CUST3526,SUB31640,Enterprise,199,Active,2024-04-10
CUST4367,SUB67254,Basic,29,Active,2025-06-03
CUST7268,SUB71571,Pro,79,Active,2024-05-10
CUST4551,SUB41039,Enterprise,199,Active,2023-06-29
CUST4627,SUB31519,Enterprise,199,Canceled,2024-12-06
CUST7545,SUB98167,Basic,29,Active,2025-03-17
CUST2644,SUB12271,Enterprise,199,Active,2025-02-21
CUST9769,SUB60683,Pro,79,Active,2023-10-15
CUST9374,SUB54405,Basic,29,Active,2023-12-12
CUST4798,SUB91367,Basic,29,Active,2024-11-13
CUST9915,SUB13810,Enterprise,199,Active,2024-08-20
CUST3902,SUB15434,Pro,79,Active,2023-01-27
CUST2437,SUB43283,Basic,29,Canceled,2024-07-30
CUST1246,SUB45353,Enterprise,199,Active,2025-03-22
CUST2108,SUB89524,Pro,79,Active,2024-09-13
CUST1396,SUB65245,Enterprise,199,Active,2025-05-20
CUST7010,SUB92760,Basic,29,Active,2023-07-02
CUST9775,SUB10599,Enterprise,199,Active,2024-04-26
CUST5039,SUB26615,Basic,29,Active,2024-12-18
CUST5208,SUB64088,Enterprise,199,Active,2023-03-10
CUST9664,SUB87680,Enterprise,199,Active,2024-12-19
CUST3683,SUB43653,Basic,29,Canceled,2024-05-09
CUST1622,SUB35530,Basic,29,Active,2025-01-23
CUST6728,SUB65947,Enterprise,199,Active,2024-10-25
CUST1295,SUB89458,Pro,79,Active,2024-12-04
CUST1667,SUB95978,Pro,79,Active,2024-05-02
